Clean_Text;Label
laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks;positif
laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks;positif
operasi yustisi gabung tni polri rangka ppkm level cegah kendali;positif
ppkm nggkjadi bijak spesial natal;netral
muslimahnews laksana ppkm idulfitri natal alas medis beda;positif
umum ppkm level eva chaniago full youtube;netral
ksp moeldoko batal laku batas giat masyarakat ppkm level bijak gas;positif
kodim blitar laksana operasi yustisi ppkm humanis;positif
kemarin izin atas minggu esok lbr for tonton konser ehhhhhh siang kbr gagal ppkm lgdg diledekin;negatif
ueueue mobil kena ppkm kereta huhu butuh libur ayooo liburaaan;netral
anggota kodim kalong laksana patroli edukasi rangka laku ppkm bagi masker;positif
anggota kodim kalong laksana patroli edukasi rangka laku ppkm bagi masker;positif
kemarin ajak jogja batal akibat ppkm dua eueue;netral
oalahh untung gajadi ppkm pulang okeiii ku tunggu;netral
nafsu vcs yuk nemenin tante colmek sayang ppkm gempa ci;negatif
ppkm level serah;netral
tolol jalan bikin lewatin warge situ lewat;negatif
cut kerja ppkm bulan;netral
lomba kalah masalah sing wis ora ppkm besok lomba balen kalah menang kui wis teta;netral
bakti sosial polsek gayamsari camat gayamsari bagi masker rangka ppkm level pasar kre;positif
dengar isu ppkm;netral
kota bima jajar tni polri tugas pp koramil rasanae kodim bima jajar;netral
batal ppkm;netral
nafsu vcs yuk nemenin tante colmek sayang ppkm;negatif
ppkm dasar joke ku;netral
bagi masker ppkm lewel polsek nanggulan;positif
tebak sidang formalitas gilir dagang ppkm jual penjara;positif
kerja setan harap duniawi paksa manusia sgl takut tuhan yesus;negatif
patroli ppkm level polsek nanggulan;positif
ppkm kemarin gaboleh sekolah gaboleh libur;netral
jalan ppkm ppkm;netral
lengah vaksinasi kunci tito buka rapa;negatif
momen januari pesawat sriwijaya februari nissa sabyan maret minyak bakar indramayu april kri nangg;netral
sekrang ppkm selesai salon giee;netral
lumayan malam ppkm malam tiga lempoh sikile;netral
lengah vaksinasi kunci tito buka rapat;negatif
balik batal ppkm level presiden joko widodo tekan terap protokol;positif
model kaya egois kasih sangsi sosial lihat rakyat kena imbas ppkm manusia model;negatif
ppkm level batal terap rata ksp perintah batas kegi;netral
nonton konser duduk enak akibat korea ppkm pro max;netral
seru banget acara balaikota solo manusia solo ppkm nanya serius;netral
virtual hug ppkm;netral
dewan bangli sambut positif batal ppkm level iii;netral
rumah ppkm;netral
bunda ayah bingung libur susul batal ppkm level natal foto;netral
ppkm mulu bangsat;negatif
koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa;netral
koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa;netral
koramil tawangmangu kamis desember anggota koramil tawangmangu dpp serda ari sutopo laksa;netral
ppkm nataru batal;netral
ppkm level batal waspada;netral
koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli;positif
koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli;positif
koramil tawangmangu kamis desember anggota koramil dpp serma kusnanto laksana patroli;positif
ppkm;netral
fungsi vaksin turun lebaran pergi ibadah;netral
ppkm nataru putus perintah rubah ppkm level beda level tiap wilayah indonesia menyambu;netral
kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli;positif
puan maharani perintah terap ppkm level beda tiap wilayah penuh adi;positif
kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli;positif
dunia anggap indonesia sukses tangan gelombang terap ppkm capai vaksinasi;positif
yauda ppkm jugaa;netral
kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli;positif
kamis desember anggota koramil tawangmangu dpp serka saswoko laksana patroli;positif
puan maharani harap masyarakat patuh himbauan perintah taat proses sambut nataru;positif
ppkm batal jabar laku ketat;netral
giat rutin apel siaga rangka cipta kamtibmas terap ppkm mikro level wilayah camat;positif
takut ppkm;netral
naevis baju ketat banget ppkm;netral
koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak;positif
koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak;positif
suap langgar atur ppkm;negatif
koramil tawangmangu kamis tanggal desember serma handoko tugas pp laksana patroli tegak;positif
dasar kaum adam akhir desember hilang status jones gampang ppkm batal;netral
harap moga batal ppkm level nataru sebab lonjak positif krna kena;negatif
